cycle_id,tooth_type,cutting_edge,metric_name,metric_value
46,side,4,wear_area,0.0613
47,side,1,vbmax,0.1314
47,side,1,vb_half_ap,0.1189
47,side,1,wear_area,0.0351
47,side,2,vbmax,0.2746
47,side,2,vb_half_ap,0.2211
47,side,2,wear_area,0.2872
47,side,3,vbmax,0.3168
47,side,3,vb_half_ap,0.2627
47,side,3,wear_area,0.0852
47,side,4,vbmax,0.2029
47,side,4,vb_half_ap,0.1947
47,side,4,wear_area,0.07319999999999999
48,side,1,vbmax,0.2805
48,side,1,vb_half_ap,0.2328
48,side,1,wear_area,0.0701
48,side,2,vbmax,0.2149
48,side,2,vb_half_ap,0.1314
48,side,2,wear_area,0.3776
48,side,3,vbmax,0.2328
48,side,3,vb_half_ap,0.1851
48,side,3,wear_area,0.061500000000000006
48,side,4,vbmax,0.1194
48,side,4,vb_half_ap,0.1016
48,side,4,wear_area,0.0603
49,side,1,vbmax,0.2033
49,side,1,vb_half_ap,0.1818
49,side,1,wear_area,0.0854
49,side,2,vbmax,0.2865
49,side,2,vb_half_ap,0.2748
49,side,2,wear_area,0.42
49,side,3,vbmax,0.179
49,side,3,vb_half_ap,0.1553
49,side,3,wear_area,0.07
49,side,4,vbmax,0.2269
49,side,4,vb_half_ap,0.191
49,side,4,wear_area,0.10619999999999999
50,side,1,vbmax,0.2328
50,side,1,vb_half_ap,0.1973
50,side,1,wear_area,0.06570000000000001
50,side,2,vbmax,0.3282
50,side,2,vb_half_ap,0.1969
50,side,2,wear_area,0.4758
50,side,3,vbmax,0.2208
50,side,3,vb_half_ap,0.185
50,side,3,wear_area,0.07769999999999999
50,side,4,vbmax,0.1434
50,side,4,vb_half_ap,0.1255
50,side,4,wear_area,0.0628
51,side,1,vbmax,0.1621
51,side,1,vb_half_ap,0.1374
51,side,1,wear_area,0.06420000000000001
51,side,2,vbmax,0.2986
51,side,2,vb_half_ap,0.2808
51,side,2,wear_area,0.3547
51,side,3,vbmax,0.2745
51,side,3,vb_half_ap,0.2453
51,side,3,wear_area,0.1403
51,side,4,vbmax,0.1735
51,side,4,vb_half_ap,0.1434
51,side,4,wear_area,0.0696
52,side,1,vbmax,0.1556
52,side,1,vb_half_ap,0.1318
52,side,1,wear_area,0.04359999999999999
52,side,2,vbmax,0.2447
52,side,2,vb_half_ap,0.2271
52,side,2,wear_area,0.3513
52,side,3,vbmax,0.2092
52,side,3,vb_half_ap,0.1747
52,side,3,wear_area,0.0578
52,side,4,vbmax,0.2268
52,side,4,vb_half_ap,0.185
52,side,4,wear_area,0.06919999999999998
53,side,1,vbmax,0.345
53,side,1,vb_half_ap,0.2328
53,side,1,wear_area,0.0887
53,side,2,vbmax,0.3109
53,side,2,vb_half_ap,0.1374
53,side,2,wear_area,0.3039
53,side,3,vbmax,0.376
53,side,3,vb_half_ap,0.2985
53,side,3,wear_area,0.0802
53,side,4,vbmax,0.2507
53,side,4,vb_half_ap,0.1794
53,side,4,wear_area,0.052899999999999996
54,side,1,vbmax,0.2999
54,side,1,vb_half_ap,0.2865
54,side,1,wear_area,0.0608
54,side,2,vbmax,0.3402
54,side,2,vb_half_ap,0.2092
54,side,2,wear_area,0.26539999999999997
54,side,3,vbmax,0.4148
54,side,3,vb_half_ap,0.3104
54,side,3,wear_area,0.08750000000000002
54,side,4,vbmax,0.2211
54,side,4,vb_half_ap,0.1911
54,side,4,wear_area,0.09670000000000001
55,side,1,vbmax,0.0982
55,side,1,vb_half_ap,0.0719
55,side,1,wear_area,0.04349999999999999
55,side,2,vbmax,0.4099
55,side,2,vb_half_ap,0.3702
55,side,2,wear_area,0.48329999999999995
55,side,3,vbmax,0.1893
55,side,3,vb_half_ap,0.1556
55,side,3,wear_area,0.0415
55,side,4,vbmax,0.2566
55,side,4,vb_half_ap,0.2448
55,side,4,wear_area,0.19590000000000002
56,side,1,vbmax,0.2806
56,side,1,vb_half_ap,0.2268
56,side,1,wear_area,0.0862
56,side,2,vbmax,0.3701
56,side,2,vb_half_ap,0.3223
56,side,2,wear_area,0.5034
56,side,3,vbmax,0.3048
56,side,3,vb_half_ap,0.2686
56,side,3,wear_area,0.16990000000000002
56,side,4,vbmax,0.2152
56,side,4,vb_half_ap,0.197
56,side,4,wear_area,0.17679999999999998
57,side,1,vbmax,0.3046
57,side,1,vb_half_ap,0.1553
57,side,1,wear_area,0.1959
57,side,2,vbmax,0.4198
57,side,2,vb_half_ap,0.376
57,side,2,wear_area,0.5488
57,side,3,vbmax,0.2387
57,side,3,vb_half_ap,0.2271
57,side,3,wear_area,0.17220000000000002
57,side,4,vbmax,0.2984
57,side,4,vb_half_ap,0.179
57,side,4,wear_area,0.21489999999999998
58,side,1,vbmax,0.2924
58,side,1,vb_half_ap,0.2148
58,side,1,wear_area,0.1762
58,side,2,vbmax,0.3223
58,side,2,vb_half_ap,0.2746
58,side,2,wear_area,0.5693
58,side,3,vbmax,0.3465
58,side,3,vb_half_ap,0.2746
58,side,3,wear_area,0.27149999999999996
58,side,4,vbmax,0.2271
58,side,4,vb_half_ap,0.1378
58,side,4,wear_area,0.1802
59,side,1,vbmax,0.2102
59,side,1,vb_half_ap,0.1191
59,side,1,wear_area,0.0905
59,side,2,vbmax,0.4
59,side,2,vb_half_ap,0.3701
59,side,2,wear_area,0.5033
59,side,3,vbmax,0.2761
59,side,3,vb_half_ap,0.185
59,side,3,wear_area,0.28559999999999997
59,side,4,vbmax,0.2627
59,side,4,vb_half_ap,0.2268
59,side,4,wear_area,0.1577
60,side,1,vbmax,0.2507
60,side,1,vb_half_ap,0.185
60,side,1,wear_area,0.1243
60,side,2,vbmax,0.4187
60,side,2,vb_half_ap,0.2806
60,side,2,wear_area,0.5184
60,side,3,vbmax,0.378
60,side,3,vb_half_ap,0.3223
60,side,3,wear_area,0.3364
60,side,4,vbmax,0.2453
60,side,4,vb_half_ap,0.2152
60,side,4,wear_area,0.1346
61,side,1,vbmax,0.3564
61,side,1,vb_half_ap,0.3521
61,side,1,wear_area,0.24830000000000002
61,side,2,vbmax,0.4655
61,side,2,vb_half_ap,0.37
61,side,2,wear_area,0.7111
61,side,3,vbmax,0.412
61,side,3,vb_half_ap,0.2387
61,side,3,wear_area,0.3432
61,side,4,vbmax,0.382
61,side,4,vb_half_ap,0.3344
61,side,4,wear_area,0.2735
62,side,1,vbmax,0.4837
62,side,1,vb_half_ap,0.3583
62,side,1,wear_area,0.22760000000000002
62,side,2,vbmax,0.4655
62,side,2,vb_half_ap,0.2984
62,side,2,wear_area,0.5421
62,side,3,vbmax,0.3523
62,side,3,vb_half_ap,0.2572
62,side,3,wear_area,0.2034
62,side,4,vbmax,0.3406
62,side,4,vb_half_ap,0.3223
62,side,4,wear_area,0.2012
63,side,1,vbmax,0.5213
63,side,1,vb_half_ap,0.5374
63,side,1,wear_area,0.2756
63,side,2,vbmax,0.4123
63,side,2,vb_half_ap,0.2686
63,side,2,wear_area,0.5957
63,side,3,vbmax,0.3836
63,side,3,vb_half_ap,0.2509
63,side,3,wear_area,0.27709999999999996
63,side,4,vbmax,0.3625
63,side,4,vb_half_ap,0.203
63,side,4,wear_area,0.3051
64,side,1,vbmax,0.6183
64,side,1,vb_half_ap,0.7221
64,side,1,wear_area,0.2365
64,side,2,vbmax,0.5126
64,side,2,vb_half_ap,0.4834
64,side,2,wear_area,0.5579999999999999
64,side,3,vbmax,0.3561
64,side,3,vb_half_ap,0.3223
64,side,3,wear_area,0.3414
64,side,4,vbmax,0.312
64,side,4,vb_half_ap,0.2686
64,side,4,wear_area,0.335
65,side,1,vbmax,0.6505
65,side,1,vb_half_ap,0.6566
65,side,1,wear_area,0.3129
65,side,2,vbmax,0.3941
65,side,2,vb_half_ap,0.3999
65,side,2,wear_area,0.3893
65,side,3,vbmax,0.3282
65,side,3,vb_half_ap,0.3347
65,side,3,wear_area,0.21670000000000003
65,side,4,vbmax,0.4059
65,side,4,vb_half_ap,0.4118
65,side,4,wear_area,0.2158
66,side,1,vbmax,0.6207
66,side,1,vb_half_ap,0.6505
66,side,1,wear_area,0.1715
66,side,2,vbmax,0.2805
66,side,2,vb_half_ap,0.2808
66,side,2,wear_area,0.3201
66,side,3,vbmax,0.3103
66,side,3,vb_half_ap,0.3103
66,side,3,wear_area,0.12630000000000002
66,side,4,vbmax,0.3581
66,side,4,vb_half_ap,0.3282
66,side,4,wear_area,0.1192
67,side,1,vbmax,0.5729
67,side,1,vb_half_ap,0.4894
67,side,1,wear_area,0.21300000000000002
